新政策旨在促进[MASK]增长和创造就业机会。,
LLM,
新政策旨在促进经济增长和创造就业机会。,1
新政策旨在促进科技增长和创造就业机会。,1
新政策旨在促进产业增长和创造就业机会。,1
新政策旨在促进教育增长和创造就业机会。,1
新政策旨在促进创新增长和创造就业机会。,1
BERT,
新政策旨在促进gdp增长和创造就业机会。,1
新政策旨在促进高增长和创造就业机会。,1
新政策旨在促进新增长和创造就业机会。,1
新政策旨在促进再增长和创造就业机会。,1
新政策旨在促进cpi增长和创造就业机会。,1
*****************************************,
这部喜剧从头到尾都让[MASK]捧腹大笑。,
LLM,
这部喜剧从头到尾都让观众捧腹大笑。,1
这部喜剧从头到尾都让人捧腹大笑。,1
这部喜剧从头到尾都让我捧腹大笑。,1
这部喜剧从头到尾都让观众们捧腹大笑。,1
这部喜剧从头到尾都让大家捧腹大笑。,1
BERT,
这部喜剧从头到尾都让人捧腹大笑。,1
这部喜剧从头到尾都让我捧腹大笑。,1
这部喜剧从头到尾都让你捧腹大笑。,1
这部喜剧从头到尾都让他捧腹大笑。,1
这部喜剧从头到尾都让您捧腹大笑。,1
*****************************************,
我喜欢探索这个[MASK]悠久的小镇迷人的街道，发现它隐藏的宝石。,
LLM,
我喜欢探索这个历史悠久的小镇迷人的街道，发现它隐藏的宝石。,1
我喜欢探索这个神秘悠久的小镇迷人的街道，发现它隐藏的宝石。,0
我喜欢探索这个风景悠久的小镇迷人的街道，发现它隐藏的宝石。,0
我喜欢探索这个风情悠久的小镇迷人的街道，发现它隐藏的宝石。,0
我喜欢探索这个文化悠久的小镇迷人的街道，发现它隐藏的宝石。,1
BERT,
我喜欢探索这个很悠久的小镇迷人的街道，发现它隐藏的宝石。,1
我喜欢探索这个最悠久的小镇迷人的街道，发现它隐藏的宝石。,1
我喜欢探索这个它悠久的小镇迷人的街道，发现它隐藏的宝石。,0
我喜欢探索这个个悠久的小镇迷人的街道，发现它隐藏的宝石。,0
我喜欢探索这个更悠久的小镇迷人的街道，发现它隐藏的宝石。,1
*****************************************,
选举结果使许多人感到惊讶，因为处于劣势的[MASK]获胜了。,
LLM,
选举结果使许多人感到惊讶，因为处于劣势的候选人获胜了。,1
选举结果使许多人感到惊讶，因为处于劣势的团队获胜了。,1
选举结果使许多人感到惊讶，因为处于劣势的政党获胜了。,1
选举结果使许多人感到惊讶，因为处于劣势的选项获胜了。,1
选举结果使许多人感到惊讶，因为处于劣势的方案获胜了。,1
BERT,
选举结果使许多人感到惊讶，因为处于劣势的他获胜了。,1
选举结果使许多人感到惊讶，因为处于劣势的人获胜了。,1
选举结果使许多人感到惊讶，因为处于劣势的党获胜了。,1
选举结果使许多人感到惊讶，因为处于劣势的她获胜了。,1
选举结果使许多人感到惊讶，因为处于劣势的我获胜了。,1
*****************************************,
惊险的过山车之[MASK]让我们兴奋不已，渴望更多。,
LLM,
惊险的过山车之旅让我们兴奋不已，渴望更多。,1
惊险的过山车之行让我们兴奋不已，渴望更多。,1
惊险的过山车之旅程让我们兴奋不已，渴望更多。,1
惊险的过山车之体验让我们兴奋不已，渴望更多。,1
惊险的过山车之旅途让我们兴奋不已，渴望更多。,1
BERT,
惊险的过山车之旅让我们兴奋不已，渴望更多。,1
惊险的过山车之路让我们兴奋不已，渴望更多。,0
惊险的过山车之行让我们兴奋不已，渴望更多。,1
惊险的过山车之夜让我们兴奋不已，渴望更多。,0
